"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3249480,"June 29, 2025","South Carolina",Kingstree,"200 N Brooks St",2,2,0,0,0,N/A
3248471,"June 29, 2025",Alabama,Mobile,"Springhill Ave and Catherine St",0,4,0,0,0,N/A
3248330,"June 28, 2025",Missouri,"Kansas City","E 24th St and Lister Ave",1,3,0,0,0,N/A
3248741,"June 28, 2025",Texas,Austin,"900 E Braker Ln",0,4,0,0,0,N/A
3248162,"June 28, 2025",Louisiana,"New Orleans","8500 block of Bill St",0,4,0,0,0,N/A
3248449,"June 28, 2025",Ohio,Springfield,"1000 block of W Rose St",1,4,0,0,0,N/A
3249173,"June 28, 2025",Ohio,Columbus,"800 block of Avonia Dr",1,3,0,0,0,N/A
3248058,"June 27, 2025",Oregon,Portland,"14919 SE Stark St",0,4,0,0,1,N/A
3247121,"June 26, 2025","New Jersey",Trenton,"100 block of Passaic St",1,3,0,0,0,N/A
3246330,"June 25, 2025",Mississippi,Moorhead,"800 E Southern Ave",0,4,0,0,0,N/A
3245226,"June 23, 2025",Georgia,Jonesboro,"148 Church St",0,4,0,0,1,N/A
3244129,"June 23, 2025","New Jersey",Newark,"367 6th Ave W",1,4,0,0,0,N/A
3243988,"June 23, 2025",Maryland,Baltimore,"2500 block of Edmondson Ave",0,4,0,0,0,N/A
3243663,"June 23, 2025",Maryland,Baltimore,"1900 block of McHenry St",0,4,0,0,0,N/A
3242627,"June 22, 2025",Louisiana,"Baton Rouge","3535 S Choctaw Dr",1,5,0,0,1,N/A
3242938,"June 22, 2025",Missouri,Springfield,"505 E St Louis St",0,4,0,0,0,N/A
3242853,"June 22, 2025",Michigan,Ferndale,"21298 Majestic Ave",1,3,0,0,0,N/A
3242908,"June 22, 2025",Missouri,"Kansas City","Vine St and E 19th St",2,4,0,0,1,N/A
3242610,"June 22, 2025","New Jersey","East Orange","375 Central Ave",0,4,0,0,0,N/A
3243238,"June 22, 2025",Pennsylvania,Pittsburgh,"N St Clair St and Broad St",0,15,0,0,1,N/A
3242658,"June 21, 2025",Oklahoma,Tulsa,"N Greenwood Ave and E Archer St",1,7,0,0,1,N/A
3242524,"June 21, 2025",California,"Moreno Valley","12000 block of Orchid Ln",0,6,0,0,0,N/A
3242684,"June 21, 2025",Oklahoma,Tulsa,"E Admiral Pl and S 122nd E Ave",0,6,0,0,0,N/A
3242475,"June 21, 2025","South Carolina",Anderson,"2009 Scarborough Rd",1,9,0,0,3,N/A
3242431,"June 21, 2025",California,Compton,"1300 W El Segundo Blvd",0,4,0,0,0,N/A
3242052,"June 20, 2025",Wisconsin,Milwaukee,"8300 block of W Brown Deer Rd",1,4,0,0,0,N/A
3240121,"June 19, 2025",Oklahoma,Tulsa,"1264 S Lawton Ave",0,5,0,0,0,N/A
3239589,"June 17, 2025",Mississippi,Louisville,"200 block of W College St",1,3,0,0,1,N/A
3238923,"June 17, 2025",Wisconsin,Milwaukee,"1000 block of W Mineral St",0,4,0,0,0,N/A
3238015,"June 16, 2025",Ohio,Cleveland,"5900 block of Luther Ave",1,6,0,0,0,N/A
3235671,"June 16, 2025",Florida,Miami,"NW 62nd St and NW 2nd Ave",2,2,0,0,0,N/A
3237753,"June 16, 2025",Ohio,Middletown,"1200 Elliott Dr",1,3,0,0,2,N/A
3234040,"June 15, 2025",Ohio,Canton,"2900 8th St NE",0,4,0,0,0,N/A
3234286,"June 15, 2025",Connecticut,Hartford,"181 Homestead Ave",0,5,0,0,0,N/A
3234370,"June 15, 2025",Utah,"Salt Lake City (West Valley City)","5405 W 3100 S",3,2,0,0,1,N/A
3245191,"June 15, 2025",Pennsylvania,Johnstown,"74 Fairfield Ave",0,4,0,0,0,N/A
3233803,"June 15, 2025",Indiana,Elkhart,"W Garfield Ave and Benham Ave",1,11,0,0,0,N/A
3233357,"June 15, 2025",Michigan,Detroit,N/A,0,5,0,0,0,N/A
3232732,"June 14, 2025",Minnesota,"Minneapolis (Brooklyn Park)","8710 Windsor Terrace N",2,2,0,0,1,N/A
3233175,"June 14, 2025",Nevada,Reno,"Raggio Pkwy",1,4,0,0,0,N/A
3233431,"June 14, 2025",Tennessee,Nashville,"Westchester Dr and Brick Church Pike",1,4,0,0,1,N/A
3232994,"June 14, 2025",Delaware,Dover,"400 block of Barrister Pl",1,4,0,0,0,N/A
3233889,"June 14, 2025",Missouri,"Kansas City","3500 Prospect Ave",1,4,0,0,0,N/A
3238280,"June 14, 2025",Mississippi,Greenville,"1500 block of S Colorado St",0,4,0,0,0,N/A
3233274,"June 14, 2025",Ohio,Columbus,"S Ludlow St and W Town St",1,6,0,0,0,N/A
3231819,"June 11, 2025",Florida,Jacksonville,"5020 Cleveland Rd",1,3,0,0,0,N/A
3231555,"June 11, 2025",Michigan,Detroit,"14300 block of Mettetal St",0,4,0,0,1,N/A
3231072,"June 9, 2025",Georgia,Augusta,"2101 Walton Way",0,4,0,0,0,N/A
3229184,"June 9, 2025","District of Columbia",Washington,"1200 block of Mt Olivet Rd NE",1,3,0,0,0,N/A
3228035,"June 8, 2025",Ohio,Cleveland,"4071 Lee Rd",0,7,0,0,0,N/A
3228413,"June 8, 2025",Wisconsin,Milwaukee,"300 block of W McKinley Ave",0,4,0,0,0,N/A
3228293,"June 8, 2025",Georgia,Lagrange,"105 Seminary St",1,6,0,0,0,N/A
3227904,"June 7, 2025","North Carolina",Sanford,"102 E Trade St",0,5,0,1,1,N/A
3228103,"June 7, 2025",Virginia,Portsmouth,"400 block of Viking St",0,4,0,0,0,N/A
3228792,"June 7, 2025",Michigan,"Benton Harbor","1000 block of Bishop St",0,6,0,0,0,N/A
3227101,"June 6, 2025","South Carolina",Columbia,"2408 Lincoln St",1,3,0,0,2,N/A
3227478,"June 6, 2025",Louisiana,Cheneyville,"200 block of Derbourne St",0,5,0,0,7,N/A
3226727,"June 5, 2025",Texas,Dallas,"3412 S Malcolm X Blvd",0,7,0,0,0,N/A
3222953,"June 1, 2025","North Carolina",Hickory,"1125 Walnut Acres Dr",1,12,0,0,6,N/A
3223359,"June 1, 2025","North Carolina",Asheville,"College St and Rankin Ave",0,4,1,0,0,N/A
3223558,"June 1, 2025",Minnesota,Minneapolis,"724 Sibley St NE",1,5,0,0,1,N/A
3223058,"June 1, 2025",Virginia,Danville,"Carver Dr and Cheyenne Dr",1,4,0,0,2,N/A
3223369,"May 31, 2025",Georgia,Snellville,"2500 Sawyer Pkwy SW",0,5,0,0,2,N/A
3223123,"May 31, 2025",Mississippi,Fayette,"1483 Main St",1,8,0,0,3,N/A
3222306,"May 31, 2025",Illinois,Chicago,"7800 block of S Throop St",0,7,0,0,0,N/A
3222806,"May 31, 2025",Indiana,Clarksville,"1909 Greentree Blvd",0,4,0,0,2,N/A
3221157,"May 29, 2025",Indiana,Haubstadt,"12000 block of S Scottsdale Dr",3,1,0,0,1,N/A
3220578,"May 28, 2025",Washington,Lakewood,"8928 N Thorne Ln SW",0,7,0,0,0,N/A
3220528,"May 28, 2025",Hawaii,Waianae,"Lahaina St and Jade St",1,3,0,1,4,N/A
3220589,"May 28, 2025",Georgia,Atlanta,"2261 Cascade Rd SW",0,4,0,0,0,N/A
3219130,"May 27, 2025",Connecticut,Waterbury,"495 Union St",0,5,0,0,1,N/A
3218775,"May 26, 2025",Pennsylvania,Philadelphia,"N Lemon Hill Dr and Sedgley Dr",2,9,0,0,0,N/A
3218025,"May 25, 2025","South Carolina","Little River","1522 Watson Ave",0,10,0,0,1,N/A
3217732,"May 25, 2025",Tennessee,"Oak Ridge","S Benedict Ave",0,9,0,0,0,N/A
3217632,"May 24, 2025",Tennessee,Jackson,"2700 N Parkway E",0,6,0,1,1,N/A
3217494,"May 24, 2025",Colorado,"Colorado Springs","1429 Potter Dr",0,6,0,0,1,N/A
3217117,"May 23, 2025",Pennsylvania,Chester,"205 E 10th St",1,4,0,0,0,N/A
3217276,"May 22, 2025",Texas,Mckinney,"7560 SH-121",1,3,0,0,1,N/A
3212153,"May 18, 2025",Missouri,"Saint Louis","800 block of Schirmer St",4,0,0,0,0,N/A
3212178,"May 18, 2025",Georgia,Macon,"4376 Log Cabin Dr",3,6,0,0,3,N/A
3211604,"May 17, 2025",Washington,Seattle,"172 S Washington St",3,1,0,0,3,N/A
3211829,"May 17, 2025",Michigan,Jackson,"103 Lincoln Ct",1,3,0,0,0,N/A
3211202,"May 16, 2025",Nevada,"Las Vegas","1725 N Rainbow Blvd",1,4,1,0,0,N/A
3211548,"May 16, 2025",Illinois,Chicago,"600 block of S Homan Ave",0,4,0,0,0,N/A
3209696,"May 11, 2025",Georgia,Valdosta,"700 block of E Gordon St",0,4,0,0,1,N/A
3206964,"May 11, 2025","South Carolina",Florence,"3027 E Palmetto St",1,5,0,1,1,N/A
3210524,"May 10, 2025",California,Paramount,"7718 Somerset Blvd",0,4,0,0,0,N/A
3207234,"May 10, 2025",California,Arvin,"Bautista St and Soledad Dr",2,2,0,0,0,N/A
3206682,"May 10, 2025",Pennsylvania,Philadelphia,"N 33rd St and W Girard Ave",0,4,0,0,0,N/A
3206957,"May 10, 2025",California,"Los Angeles",N/A,0,6,0,0,0,N/A
3206048,"May 9, 2025",Michigan,Detroit,"15700 block of Patton St",2,2,0,0,1,N/A
3205141,"May 7, 2025",Connecticut,Hartford,"Nelson St",0,4,0,0,0,N/A
3203108,"May 6, 2025",Tennessee,Memphis,"2536 N Watkins Rd",2,3,0,0,0,N/A
3203064,"May 5, 2025",Oklahoma,"Oklahoma City","308 NW 10th St",0,7,0,0,3,N/A
3203683,"May 5, 2025","South Carolina","North Charleston","6800 block of Ward Ave",1,3,1,0,0,N/A
3203390,"May 5, 2025",Pennsylvania,Sharon,"317 Baldwin Ave",0,4,0,0,0,N/A
3201452,"May 4, 2025",Oklahoma,Tulsa,"E 2nd St S and S Elgin Ave",0,5,1,1,0,N/A
3201117,"May 4, 2025",Texas,Houston,"6000 block of Cherry Hill Ave",1,15,0,0,0,N/A
3201936,"May 4, 2025",Arizona,Glendale,"6729 N 57th Dr",3,5,0,0,0,N/A
3201959,"May 4, 2025",Colorado,Denver,"1900 block of Market St",0,4,0,0,1,N/A
3199958,"May 2, 2025",Maryland,"Gwynn Oak (Woodlawn)","1800 block of Woodlawn Dr",1,3,0,0,0,N/A
3198160,"April 29, 2025",Minnesota,Minneapolis,"1508 E 25th St",4,1,0,0,1,N/A
3195984,"April 27, 2025","North Carolina","Elizabeth City","1704 Weeksville Rd",1,3,0,0,0,N/A
3196464,"April 27, 2025",Tennessee,Memphis,"2871 S Perkins Rd",1,4,0,0,0,N/A
3196061,"April 27, 2025","North Carolina","Rocky Mount","W End St",0,4,0,0,2,N/A
3195885,"April 26, 2025","South Carolina","Myrtle Beach","913 N Ocean Blvd",0,11,1,0,0,N/A
3189434,"April 20, 2025",Texas,Houston,"12929 Nyack Dr",0,4,0,0,0,N/A
3190014,"April 20, 2025",Louisiana,Ruston,"302 S Farmerville St",1,5,0,0,1,N/A
3189178,"April 19, 2025",Tennessee,Memphis,"Mosby Ave and N Dunlap St",1,4,0,0,0,N/A
3188506,"April 18, 2025",Texas,Garland,"3820 W Walnut St",1,3,0,0,2,N/A
3187190,"April 17, 2025",Florida,Tallahassee,"75 N Woodward Ave",2,5,0,1,1,N/A
3185538,"April 15, 2025",Texas,Dallas,"5520 Langdon Rd",0,5,0,0,1,N/A
3184539,"April 13, 2025",Missouri,"Saint Louis","3800 block of Natural Bridge Ave",1,4,0,0,0,N/A
3184153,"April 13, 2025",Louisiana,"New Orleans","100 block of Decatur St",0,5,0,0,2,N/A
3184142,"April 13, 2025",Florida,"Daytona Beach","155 Ontario Ct",1,3,0,0,0,N/A
3184200,"April 13, 2025",Arkansas,Conway,"600 5th Ave",2,9,0,0,3,N/A
3183722,"April 12, 2025",Texas,Crosby,"13203 Crosby Lynchburg Rd",1,6,0,0,0,N/A
3182714,"April 11, 2025",California,Stockton,"517 Doctor MLK Jr Blvd",0,6,0,0,0,N/A
3181158,"April 9, 2025",Tennessee,Memphis,"4005 S Mendenhall Rd",1,5,0,0,1,N/A
3180141,"April 8, 2025",Virginia,Fredericksburg,"415 Olde Greenwich Cir",3,3,0,1,5,N/A
3178598,"April 5, 2025",California,"Los Angeles","11000 block of S Manhattan Pl",1,4,0,0,0,N/A
3177421,"April 4, 2025",Tennessee,Knoxville,"8039 Ray Mears Blvd",0,4,0,0,0,N/A
3176539,"April 2, 2025",Maine,Sabattus,"916 Middle Road",2,2,1,0,0,N/A
3173826,"March 31, 2025",Texas,"San Antonio","10227 Ironside Dr",0,4,1,0,0,N/A
3173872,"March 30, 2025",California,"San Francisco","58 Middle Point Rd",0,4,0,0,0,N/A
3173569,"March 30, 2025",Texas,Austin,"215 E 6th St",0,4,0,0,0,N/A
3173233,"March 30, 2025",Indiana,Whiting,"1516 Indianapolis Blvd",2,3,0,0,1,N/A
3172689,"March 29, 2025",Maryland,Baltimore,"400 block of Venable Ave",0,4,0,0,2,N/A
3173790,"March 29, 2025","South Carolina",Orangeburg,"1175 Five Chop Rd",0,7,0,0,1,N/A
3172644,"March 29, 2025",Washington,Tacoma,"17800 block of 25th Ave Ct E",2,4,0,1,2,N/A
3170672,"March 26, 2025",Florida,"Hallandale (Hallandale Beach)","3181 W Hallandale Beach Blvd",4,1,1,0,0,N/A
3166785,"March 23, 2025",Texas,Houston,"6419 1/2 Hillcroft St",0,6,0,0,1,N/A
3166569,"March 22, 2025",Louisiana,Natchitoches,"LA-1225 and Catholic Ln",0,4,0,0,0,N/A
3166540,"March 22, 2025",Mississippi,Jackson,"Lamar St and Pearl St",1,7,0,0,2,N/A
3166767,"March 21, 2025",Washington,"Moses Lake","500 block of W Loop Dr",1,4,0,1,3,N/A
3166052,"March 21, 2025","New Mexico","Las Cruces","850 S Walnut St",3,15,0,0,4,N/A
3166856,"March 21, 2025",Georgia,Brunswick,"5700 Altama Ave",1,3,0,0,0,N/A
3165724,"March 19, 2025",Alabama,Selma,"2800 block of Summerfield Rd",1,3,0,0,1,N/A
3163394,"March 18, 2025",Georgia,Savannah,"1900 Westlake Ave",0,5,0,0,0,N/A
3161961,"March 15, 2025","New Jersey",Verona,"10 Park Pl",0,4,0,0,0,N/A
3161176,"March 15, 2025",Louisiana,Shreveport,"204 Texas St",2,2,0,0,1,N/A
3161075,"March 14, 2025",Illinois,Chicago,"1949 W 51st St",0,4,0,1,3,N/A
3157288,"March 10, 2025",Alabama,Huntsville,"708 Poplar Ave",0,4,0,0,1,N/A
3152807,"March 4, 2025",Maryland,Severn,"8100 block of Meade Village Rd",2,2,0,0,0,N/A
3152667,"March 4, 2025",Louisiana,Mamou,"Ballpark Rd",2,12,0,0,1,N/A
3150651,"March 2, 2025",Texas,Houston,"3333 Raleigh St",0,5,0,0,1,N/A
3152206,"March 2, 2025",Mississippi,Biloxi,"279 Caillavet St",0,6,0,0,1,N/A
3151104,"March 2, 2025",Louisiana,Franklinton,"Greenlaw St",0,5,0,0,1,N/A
3151577,"March 2, 2025",Virginia,Portsmouth,"2900 block of Arcadia Ave",1,3,0,0,1,N/A
3151474,"March 1, 2025",California,Hayward,"21933 Foothill Blvd",0,4,0,0,0,N/A
3151139,"March 1, 2025",Alabama,Sardis,"304 Co Rd 134",0,6,0,0,1,N/A
3149025,"February 27, 2025",Ohio,Columbus,"480 block of Kimball Pl",1,3,0,0,0,N/A
3146395,"February 24, 2025",Texas,Dallas,"Canada Dr and Gulden Ln",3,2,0,0,2,N/A
